district,block,link,new_confirmed,confirmed,active,recovered,deceased
Araria,Araria,district/Araria/index.html,0,0,0,0,0
Araria,Bhargama,district/Araria/index.html,0,0,0,0,0
Araria,Forbesganj,district/Araria/index.html,0,0,0,0,0
Araria,Jokihat,district/Araria/index.html,0,0,0,0,0
Araria,Kursakanta,district/Araria/index.html,0,0,0,0,0
Araria,Narpatganj,district/Araria/index.html,0,0,0,0,0
Araria,Palasi,district/Araria/index.html,0,0,0,0,0
Araria,Raniganj,district/Araria/index.html,0,0,0,0,0
Araria,Sikti,district/Araria/index.html,0,0,0,0,0
Araria,Total,district/Araria/index.html,0,0,0,0,0
Arwal,Arwal,district/Arwal/index.html,0,3,3,0,0
Arwal,Sonbhadra Banshi Surypur,district/Arwal/index.html,0,0,0,0,0
Arwal,Kaler,district/Arwal/index.html,0,0,0,0,0
Arwal,Karpi,district/Arwal/index.html,0,0,0,0,0
Arwal,Kurtha,district/Arwal/index.html,0,1,1,0,0
Arwal,Total,district/Arwal/index.html,0,4,4,0,0
Aurangabad,Aurangabad,district/Aurangabad/index.html,0,5,5,0,0
Aurangabad,Barun,district/Aurangabad/index.html,0,0,0,0,0
Aurangabad,Daudnagar,district/Aurangabad/index.html,0,0,0,0,0
Aurangabad,Deo,district/Aurangabad/index.html,0,3,3,0,0
Aurangabad,Goh,district/Aurangabad/index.html,0,0,0,0,0
Aurangabad,Haspura,district/Aurangabad/index.html,0,0,0,0,0
Aurangabad,Kutumba,district/Aurangabad/index.html,0,0,0,0,0
Aurangabad,Madanpur,district/Aurangabad/index.html,0,0,0,0,0
Aurangabad,Nabinagar,district/Aurangabad/index.html,0,0,0,0,0
Aurangabad,Obra,district/Aurangabad/index.html,0,0,0,0,0
Aurangabad,Rafiganj,district/Aurangabad/index.html,0,0,0,0,0
Aurangabad,Total,district/Aurangabad/index.html,0,8,8,0,0
Banka,Amarpur,district/Banka/index.html,0,1,1,0,0
Banka,Banka,district/Banka/index.html,0,1,1,0,0
Banka,Barahat,district/Banka/index.html,0,0,0,0,0
Banka,Belhar,district/Banka/index.html,0,0,0,0,0
Banka,Bounsi,district/Banka/index.html,0,0,0,0,0
Banka,Chandan,district/Banka/index.html,0,0,0,0,0
Banka,Dhoraiya,district/Banka/index.html,0,0,0,0,0
Banka,Fullidumar,district/Banka/index.html,0,0,0,0,0
Banka,Katoriya,district/Banka/index.html,0,0,0,0,0
Banka,Rajoun,district/Banka/index.html,0,0,0,0,0
Banka,Shambhuganj,district/Banka/index.html,0,0,0,0,0
Banka,Total,district/Banka/index.html,0,2,2,0,0
Begusarai,Bachwara,district/Begusarai/index.html,0,2,1,1,0
Begusarai,Bakhri,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Balia,district/Begusarai/index.html,0,1,1,0,0
Begusarai,Barauni,district/Begusarai/index.html,0,3,0,3,0
Begusarai,Begusarai,district/Begusarai/index.html,0,1,1,0,0
Begusarai,Bhagawanpur,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Birpur,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Cheria Bariyarpur,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Chhourahi,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Dandari,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Garhpura,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Khodabandpur,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Mansurchak,district/Begusarai/index.html,0,1,1,0,0
Begusarai,Matihani,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Navkothi,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Sahebpur Kamal,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Samho-Akaha-Kurha,district/Begusarai/index.html,0,0,0,0,0
Begusarai,Teghra,district/Begusarai/index.html,0,3,2,1,0
Begusarai,Total,district/Begusarai/index.html,0,11,6,5,0
Bhagalpur,Bihpur,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Gauradih,district/Bhagalpur/index.html,0,3,3,0,0
Bhagalpur,Gopalpur,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Ishmailpur,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Jagdishpur,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Kahalgaon,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Kharik,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Narayanpur,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Nathnagar,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Navgachhia,district/Bhagalpur/index.html,0,1,0,1,0
Bhagalpur,Pirpainty,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Rangra Chowk,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Sabour,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Shahkund,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Sanhoula,district/Bhagalpur/index.html,0,1,1,0,0
Bhagalpur,Sultanganj Purushottam,district/Bhagalpur/index.html,0,0,0,0,0
Bhagalpur,Total,district/Bhagalpur/index.html,0,5,4,1,0
Bhojpur,Agioan,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Ara Sadar,district/Bhojpur/index.html,0,10,10,0,0
Bhojpur,Barhara,district/Bhojpur/index.html,0,1,0,1,0
Bhojpur,Bihiya,district/Bhojpur/index.html,0,1,1,0,0
Bhojpur,Charpokhri,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Garhani,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Jagdishpur,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Koilwar,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Piro,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Sahar,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Sandesh,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Shahpur,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Tarari,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Udwantnagar,district/Bhojpur/index.html,0,0,0,0,0
Bhojpur,Total,district/Bhojpur/index.html,1,12,11,1,0
Buxar,Brahmpur,district/Buxar/index.html,0,0,0,0,0
Buxar,Buxar,district/Buxar/index.html,0,1,1,0,0
Buxar,Chakki,district/Buxar/index.html,0,0,0,0,0
Buxar,Chausha,district/Buxar/index.html,0,0,0,0,0
Buxar,Chaugain,district/Buxar/index.html,0,0,0,0,0
Buxar,Dumraon,district/Buxar/index.html,0,50,45,5,0
Buxar,Itarhi,district/Buxar/index.html,0,0,0,0,0
Buxar,Kesath,district/Buxar/index.html,0,0,0,0,0
Buxar,Nawanagar,district/Buxar/index.html,0,0,0,0,0
Buxar,Rajpur,district/Buxar/index.html,0,0,0,0,0
Buxar,Simari,district/Buxar/index.html,0,0,0,0,0
Buxar,Total,district/Buxar/index.html,11,51,46,5,0
Darbhanga,Alinagar,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Bahadurpur,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Baheri,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Benipur,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Biraul,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Darbhanga,district/Darbhanga/index.html,0,5,5,0,0
Darbhanga,Gaura Bauram,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Ghanshyampur,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Hanuman Nagar,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Hayaghat,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Jale,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Keoti,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Kiratpur,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Kusheswar Asthan,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Kusheswar Asthan East,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Manigachhi,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Singhwara,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Tardih,district/Darbhanga/index.html,0,0,0,0,0
Darbhanga,Total,district/Darbhanga/index.html,0,5,5,0,0
East Champaran,Adapur,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Areraj,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Banjariya,district/East Champaran/index.html,0,1,0,0,1
East Champaran,Chakia,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Chhauradano,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Chiraiya,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Dhaka,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Ghorasahan,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Harsiddhi,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Kalyanpur,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Kesaria,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Kotwa,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Madhuban,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Mehsi,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Motihari,district/East Champaran/index.html,0,3,3,0,0
East Champaran,Paharpur,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Pakaridayal,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Patahi,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Phenhara,district/East Champaran/index.html,0,1,1,0,0
East Champaran,Piprakothi,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Ramgarhwa,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Raxaul,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Sangrampur,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Sugauli,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Tetaria,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Turkauliya,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Bankatwa,district/East Champaran/index.html,0,0,0,0,0
East Champaran,Total,district/East Champaran/index.html,0,5,4,0,1
Gaya,Amas,district/Gaya/index.html,0,0,0,0,0
Gaya,Atri,district/Gaya/index.html,0,0,0,0,0
Gaya,Banke Bazar,district/Gaya/index.html,0,0,0,0,0
Gaya,Barachatty,district/Gaya/index.html,0,0,0,0,0
Gaya,Belaganj,district/Gaya/index.html,0,0,0,0,0
Gaya,Bodh Gaya,district/Gaya/index.html,0,0,0,0,0
Gaya,Dobhi,district/Gaya/index.html,0,0,0,0,0
Gaya,Dumariya,district/Gaya/index.html,0,0,0,0,0
Gaya,Fatehpur,district/Gaya/index.html,0,0,0,0,0
Gaya,Gaya Sadar,district/Gaya/index.html,0,5,0,5,0
Gaya,Guraru,district/Gaya/index.html,0,0,0,0,0
Gaya,Gurua,district/Gaya/index.html,0,0,0,0,0
Gaya,Imamganj,district/Gaya/index.html,0,0,0,0,0
Gaya,Khizar Sarai,district/Gaya/index.html,0,0,0,0,0
Gaya,Konch,district/Gaya/index.html,0,0,0,0,0
